numcol,yieldpercol,totalprod,stocks,prodvalue
7000.0,61,427000.0,149000.0,892000.0
12000.0,87,1044000.0,282000.0,1472000.0
49000.0,44,2156000.0,862000.0,3256000.0
6000.0,46,276000.0,52000.0,315000.0
59000.0,73,4307000.0,2283000.0,5771000.0
27000.0,76,2052000.0,1436000.0,1395000.0
58000.0,56,3248000.0,942000.0,4742000.0
8000.0,44,352000.0,127000.0,419000.0
16000.0,80,1280000.0,346000.0,858000.0
10000.0,95,950000.0,323000.0,1672000.0
52000.0,89,4628000.0,2592000.0,2453000.0
7000.0,76,532000.0,186000.0,489000.0
6000.0,48,288000.0,95000.0,838000.0
7000.0,53,371000.0,108000.0,1039000.0
7000.0,89,623000.0,274000.0,748000.0
8000.0,51,408000.0,106000.0,530000.0
48000.0,114,5472000.0,821000.0,2681000.0
6000.0,41,246000.0,108000.0,295000.0
10000.0,66,660000.0,356000.0,1412000.0
24000.0,70,1680000.0,554000.0,1848000.0
9000.0,92,828000.0,489000.0,704000.0
5000.0,41,205000.0,33000.0,420000.0
350000.0,74,25900000.0,7770000.0,23569000.0
140000.0,67,9380000.0,1126000.0,13132000.0
28000.0,80,2240000.0,672000.0,2128000.0
10000.0,35,350000.0,95000.0,508000.0
24000.0,45,1080000.0,346000.0,1026000.0
9000.0,63,567000.0,164000.0,1049000.0
26000.0,50,1300000.0,299000.0,1274000.0
12000.0,46,552000.0,442000.0,1717000.0
38000.0,63,2394000.0,383000.0,3184000.0
91000.0,77,7007000.0,1612000.0,4344000.0
11000.0,53,583000.0,152000.0,979000.0
24000.0,62,1488000.0,580000.0,2351000.0
6000.0,64,384000.0,207000.0,326000.0
77000.0,64,4928000.0,1380000.0,6604000.0
355000.0,33,11715000.0,2109000.0,16284000.0
205000.0,98,20090000.0,2009000.0,20492000.0
28000.0,53,1484000.0,326000.0,2122000.0
15000.0,52,780000.0,476000.0,601000.0
14000.0,46,644000.0,148000.0,721000.0
11000.0,45,495000.0,84000.0,1272000.0
64000.0,83,5312000.0,2922000.0,6056000.0
114000.0,67,7638000.0,985000.0,8707000.0
5000.0,64,320000.0,96000.0,544000.0
40000.0,68,2720000.0,2530000.0,2366000.0
50000.0,51,2550000.0,561000.0,3239000.0
7000.0,56,392000.0,153000.0,662000.0
4000.0,39,156000.0,27000.0,381000.0
5000.0,54,270000.0,78000.0,440000.0
400000.0,75,30000000.0,9300000.0,25800000.0
3000.0,47,141000.0,69000.0,259000.0
230000.0,128,29440000.0,8832000.0,18547000.0
17000.0,52,884000.0,407000.0,1326000.0
10000.0,90,900000.0,225000.0,1431000.0
26000.0,81,2106000.0,1221000.0,2759000.0
71000.0,37,2627000.0,1077000.0,4124000.0
3000.0,50,150000.0,12000.0,186000.0
20000.0,52,1040000.0,562000.0,1508000.0
7000.0,64,448000.0,121000.0,591000.0
35000.0,54,1890000.0,265000.0,3251000.0
62000.0,41,2542000.0,1017000.0,6050000.0
38000.0,63,2394000.0,1197000.0,2586000.0
5000.0,56,280000.0,78000.0,465000.0
13000.0,35,455000.0,73000.0,865000.0
58000.0,77,4466000.0,1965000.0,2724000.0
7000.0,67,469000.0,150000.0,788000.0
64000.0,70,4480000.0,2240000.0,3853000.0
40000.0,65,2600000.0,2028000.0,1690000.0
170000.0,81,13770000.0,1790000.0,13770000.0
18000.0,70,1260000.0,504000.0,1814000.0
450000.0,77,34650000.0,7623000.0,47817000.0
135000.0,75,10125000.0,1924000.0,10935000.0
55000.0,57,3135000.0,188000.0,2195000.0
14000.0,22,308000.0,89000.0,256000.0
11000.0,21,231000.0,143000.0,173000.0
4000.0,78,312000.0,125000.0,440000.0
